	Sentence	Argument
72	 In other words , if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education .	1
73	 That ' s not enough , for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance .	1
74	 The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community .	1
75	 Some may argue that universities can support themselve well by donation or invention , but this argument is invalid .	1
76	 Researches into humanities and art still need large amount of money , what ' s more , government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide .	1
77	 From reasons listed above , we can safely draw the conclusion that , a government should spare effort on young children education as well as universities , both are crucial on the way to a brighter future .	1
78	 Roommates quality and their importance	0
79	 Much has been said about the importance about good roommates and how roommates will affect our life in school .	0
80	 Research showed that friends that we made in university are more likely to be life time friends and this especially applicable to roommate .	0
81	 In my personal opinion , the most important quality of roommates is being considered .	1
82	 In the meantime , communication is also another essential particularity of a good roommate .	1
83	 Consideration is always important in relationship .	1
84	 For example , roommate turns down the music or television volume at night time .	1
85	 Sometimes we will not know what we have done until we have a taste of our own medicine .	1
86	 At all times , think about the other ' s feeling before doing any self - centered action would help to improve the roommate relationship tremendously .	1
87	 Therefore , having a considered roommate is significantly imperative to our school life .	1
88	 It will not only prevent conflicts but also to have a friend or even a family member .	1
89	 Moreover , communication is as well making a good roommate .	1
90	 People have different habit in daily life , such as tidy the blanket in the morning .	1
91	 One might think this is a piece of cake while other would consider it as immense project .	1
92	 If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk .	1
93	 Therefore , communication is very important as it would clear up the misinterpretation .	1
94	 Through communication , bonded are build and we could have better understanding of each others .	1
95	 In conclusion , there are many valuable factors about roommate that are important .	0
96	 Consideration and communication , in my personal opinion , are the most important quality .	1
97	 However , people might not get what they want all the time .	0
98	 The sky is the limit ; there are all kinds of personality out there .	0
99	 We need to be flexible to be account into society .	0
100	 Should governments spend more money on improving roads and highways	0
101	 Nowadays transportation has attracted much social concern .	0
102	 Whether governments should invest more money in traffic infrastructure or focus more on developing public transportation has erupted endless controversy .	0
103	 It does not seem unreasonable to suggest that governments spend more money on buses , trains , and subways investment .	1
104	 Such public vehicles are used to serve a large number of people in society therefore they help alleviate traffic congestion and decrease the amount of carbon released into the air .	1
105	 Both these two things are important .	0
106	 First and foremost , carbon emission cut is significantly essential for protecting the atmosphere .	1
107	 The fact is that the more cars and motorbikes are on roads , the more seriously the ozone layer is damaged .	1
108	 If governments use more money to improve roads , there is a strong likelihood that more people drive their private cars work .	1
109	 This is sure to lead to more carbon emitted into the atmosphere , which can cause skin cancer and destroy the natural environment .	1
110	 Whereas , if there are more good buses , trains , or subways , people are inclined to use less private vehicles , which decreases the amount of carbon released .	1
111	 Obviously , the policy that concentrates money on developing public transportation brings an advantageous impact on earth .	1
112	 In addition , the policy would play a pivotal part in relieving traffic jam .	1
113	 It is quiet clear that traffic congestion is a serious problem in many big cities .	1
114	 The main reason for this issue is that there are a great number of vehicles flowing on roads .	1
115	 In order to tackle the problem , governments have to turn people ' attention on public vehicles to reduce cars and motorbikes .	1
116	 There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion .	1
117	 In conclusion , I would concede that high - quality roads and highways make it easier to move around .	1
118	 Nevertheless , public transportation systems even have more important advantages .	1
119	 They not only ease traffic jam but also protect the atmosphere .	1
120	 That is why many governments around the world invest more money on developing public transportation facilities .	0
121	 Physical exercise	0
122	 Although some people think that the major part of school schedule should be entirely devoted to academics , I truly believe that the physical education part should not be outweighed .	1
123	 Physical exercises help to create healthy nation , assist to learning through direct observation and finally aid to financial development of a country .	1
124	" First of all , the ancient Latin proverb says : 	O	O	Y	SP: 4	Sentence: 125	Doc: essay011
Anima	O	O	Y	SP: 4	Sentence: 125	Doc: essay011
sana	O	O	Y	SP: 4	Sentence: 125	Doc: essay011
in	O	O	Y	SP: 4	Sentence: 125	Doc: essay011
corpore	O	O	Y	SP: 4	Sentence: 125	Doc: essay011
sano	O	O	Y	SP: 4	Sentence: 125	Doc: essay011
 , which means that healthy body is basis for healthy soul ."	1
125	 There is a direct linkage between people ' s health and the frequency of doing physical exercises .	1
126	 The more we practice , the better we feel .	1
127	 Additionally , there is a fact that one can improve health conditions with everyday physical activity : gradually , step by step we change physical condition to better .	1
128	 So , if the entire nation , from their school ages begin going for sports and try doing that everyday , eventually it may help to build healthy nation .	1
129	 Besides , when we practice outdoors and indoors sports , many aspects are getting clearer .	1
130	 For example , when a person goes jogging everyday , eventually he can understand his own body through direct observation .	1
131	 Alike , the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically .	1
132	 Furthermore , almost all natural science discoveries were made by direct observation , which is a part of physical education .	1
133	 Last , but not least , financial sustainability of a region mostly depends on how healthy the population is .	1
134	 For instance , the money invested into physical education program can save allocations into healthcare , since the nation is comparatively healthy .	1
135	 Along with that , physically healthy people can contribute more both into economical and social development .	1
136	 As a matter of fact , the better a person feels , the better his brain works .	1
137	 Therefore , putting physical activities in early steps of human development would finally lead to mentally healthy society .	1
138	 As hence it ends up with financially competitive country .	1
139	 In the conclusion , I would like to say that the more attention is withdrawn to a problem of physical education , the more influence we can get on academic success of students .	1
140	 Advance in transportation and communication like the airplane and the phone	0
141	 Nowadays , everyone can see the effect of technology on their life , especially on the way of transportations and communications such as the airplane and the telephone .	0
142	 There are lots of other effects of growing technology on transportations and communications , which are mentioned as follows .	0
143	 First and foremost , email can be count as one of the most beneficial results of modern technology .	1
144	 Many years ago , peoples had to pay a great deal of money to post their letters , and their payements were related to the weight of their letters or boxes , and many accidents may cause problem that the post could not be delivered .	1
145	 But nowadays , all people can take advantage of internet to have their own email free , and send their emails to everyone in no time , besides they can be sure if their emails have been delivered or not .	1
146	 Another important aspect on technology is transferring money .	1
147	 Today , students can apply for foreign universities much easier than before .	1
148	 Not only with the help of sending email , but also using credit cards to pay all necessary fees online .	1
149	 Therefore , with the advent of internet and online paying systems , you can do many thing at your home easily .	1
150	 Another technological innovations which help people around the world is related to medical equipments .	1
151	 Biomedical engineers could make a significant effect on increasing life expectancy the world .	1
152	 For example , one of their inventions was related to artificial heart valves which can be count as a turning point in heart surgeries .	1
153	 In the past time doctors used pig heart ' s valve to implant , but the patient could not be alive more than 3 years after the replacement .	1
154	 But now , biomedical engineers can make artificial heart valves which works well and doctors can implant them easily .	1
155	 To sum up , technology has helped us to have more comfortable life .	1
156	 You can see its effects on transportation , communication , medicine and so forth .	1
157	 Lessons with teachers versus others sources	0
158	 Over the last half century the change in the life of human beings has increased beyond our wildest expectations .	0
159	 There are countless new technological equipments flooding into our lives , such as the Internet , television and cell phone .	0
160	 They all enrich our daily lives .	0
161	 Now , many students learn from Internet after class and they find it quite helpful .	0
162	 Many people find that students at schools and universities still learn much more from lessons with teachers .	1
163	 They argue that teachers teach students how to write , read and calculate since they are in kindergarten .	1
164	 And when they are in primary school , teachers teach them more further knowledge , like writing skills and using computers .	1
165	 It is teachers that help them with obstacles in schooling .	1
166	 On the other hand , students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers .	1
167	 Those who feel that students learn far more from other sources , such as the Internet and television , firmly believe that within this sources students learn lots of things which they can ' t learn in classes .	1
168	 They can only input some key words and google it , and then there are numberless articles and websites related to it .	1
169	 In this case , students learn things easily .	1
170	 Moreover , they contend that good television programs do teach students .	1
171	 For instance , Discovery Channel has many instructive episodes .	1
172	 Students have knowledge of others cultures , outer space etc .	1
173	 Personally , I think that students learn far more from their teachers than from other source .	1
174	 Because not only do teachers teach us knowledge but also the skills to tell right from wrong .	1
175	 Just imagine : if a student can ' t even make out whether the source is reasonable or not , then how can he get the right information to help him to learn ?	0
176	 Email and text messaging threats written language	0
177	 The introduction of email and text messaging has brought about considerable changes in communication .	0
178	 With this situation , some people believe that they may be factors decreasing the position of written language .	1
179	 I am in favor of that idea because of their advantages and the fact we can see today about the use of these new means .	0
180	 First of all , it is easy to point out many benefits users can get from email and text messaging , which answers to the question of their great popularity .	1
181	 Before email and mobile phone , human beings communicated by meeting directly , sending letters or later , calling from home phones .	1
182	 Such ways usually made people have troubles for the expensiveness , difficulties in far communication or emergency and the loss of information .	1
183	 However , email and cell phones have improved the obstacles above .	1
184	 People can send or receive electronic letters anywhere and anytime they want .	1
185	 Especially , thanks to the function provided by email and text messaging ( SMS ) , it is cheaper and faster to transfer a lot of information , even to many people at the same time .	1
186	 They are so convenient that the majority of population prefer to use them instead of some traditional ways .	1
187	 The popularity of email and text messaging , as a result , leads to the losing of written language ' s position .	1
188	 People tend to use slangs and abbreviated words to shorten their writing and save more time in communicating for other activities .	1
189	 The outcome is that language in writing is not in its original form .	1
190	 Even in some cases , people compose a message with only emoticons ( the expressions by face created by service providers ) , which means there is no room for writing or typing texts .	1
191	 Moreover , it is more dangerous that youngsters sometimes use such new languages in their studying , writing assignments .	1
192	 If that tendency continues at a rapid pace , written language may face up to a real problem about its stand .	1
193	 In conclusion , we cannot deny the threat from email and text messaging to the status of written language because their obvious popularity .	1
194	 Nevertheless , educators and individuals themselves , especially the youths should pay ore attention to this matter so that we can take advantages of the new language along with preserving the traditional one .	0
195	 Using animals for the benefit of the human beings	0
196	 With the rapid development of the standard of people ' s life , increasing numbers of animal experiments are done , new medicines and foods , for instance .	0
197	 Some opponents says that it is cruel to animals and nature , however , I believe that no sensible person will deny that it is a dramatically cruel activity to humanity if the latest foods or medicines are allowed to sold without testing on animals .	1
198	 In my essay , I will discuss this issue from twofold aspects .	0
199	 First of all , as we all know , animals are friendly and vital for people , because if there are no animals in the world , the balance of nature will broke down , and we , human , will die out as well .	1
200	 The animal experiments accelerate the vanishing of some categories of animals .	1
201	 In other words , doing this various testing is a hazard of human ' s future and next generation .	1
202	 Though animal experiments have negative impact on the natural balance , it is necessary to make sure that people can live a long life .	1
203	 To begin with , it is indisputable that every new kind food or pill may be noxious , and scientists must do something to insure that the new invention benefits people instead of making people ill or even dying .	1
204	 The new foods or medicines are invented to promote the quantity of human ' s life .	1
205	 Thus even if they are volunteers ; they cannot take the place of animals to test the new foods or medicines .	1
206	 Furthermore , it also have potentially harm for human ' s health without any testing .	1
207	 To sum up , I reaffirm that although there is some disadvantages of animals ' profits , the merits of animal experiments still outweigh the demerits .	1
208	 Television is the culprit for destroying communication between friends & family	0
209	 It is very hard to find a home that does not have a television .	0
210	 Nowadays , number of television channels and programs are increasing everyday .	0
211	 Unfortunately , most of people do not have a plan for make a limitation or schedule for watching television .	1
212	 I agree with that idea that television devastate families ties .	1
213	 In spite of enjoying watching television shows , it is really time consuming task .	1
214	 Emergence of new television channels or shows are not surprising .	1
215	 We kill time by tracking these channels so at the end of the day we understand it is late for doing any other activities .	1
216	 This is a problem that suffers all of us everyday .	1
217	 At the end , there is no time for call to our parents or friends .	1
218	 Second , I think watching television programs makes us lazy .	1
219	 We usually spend our times in front of television for at least three ours a day when we come back home after eight - hour working in the office .	1
220	 Hence , we do not have time to spend for healthy activity such as going to a gym or doing other sports .	1
221	 This makes us a lazy person who prefers to do sedentary activities like watching television shows rather than be active and sociable .	1
222	 Last but not least , some television programs have a negative effect on viewers .	1
223	 Some thriller or action movies advertise negative activities such as doing criminal activity .	1
224	 These genre of programs has more negative effects on our teenagers .	1
225	 They usually try to mimic what they see on movies in their daily behaviors .	1
226	 To sum up , killing our time , making us lazy , and advertising negative behaviors are just only few reasons to show how television is destructive .	1
227	 I think it is a global problem to solve this problem and it is need global contribution to find a solution .	1
228	 Gender Equality at university admission	0
229	 Nowadays men and women are equally participating in every field .	0
230	 Contrastingly , in the past time , women worked at home and performed sophisticated work .	0
231	 This factor is still affecting thinking of many people .	0
232	 They still believe that in present time women must do such type of work only .	0
233	 This tendency enforces universities to accept student according to the gender .	0
234	 Universities should accept equal numbers of students of both genders .	1
235	 Initially , if we look into the fact , women have proved themselves in every field whether it is indoor or outdoor .	1
236	 For example , nowadays women are working in home as well as in the sky .	1
237	 They are acting as a good housewife and they are flying planes also .	1
238	 Furthermore , university authority must not be biased on ground of the gender discrimination .	1
239	 They must consider the academic record of the student as main criteria of admission .	1
240	 However , the current job market affects the decision of universities .	1
241	 Every university designs its courses according to the need of employers .	1
242	 The job selection criteria are pre decided .	1
243	 For instance employers need male candidates for the heavy work such as repairing and installation of heavy machine .	1
244	 They prefer male staff for night shifts .	1
245	 They want female candidates for soft natured work like counseling , teaching , designing etc .	1
246	 Therefore , universities follow the requirement of job providers and decide subject suitable for particular gender .	1
247	 To conclude , I strongly believe that universities must open choice for everyone to select his subject .	1
248	 Our youth has become very confident towards his career .	1
249	 They are not ready to be bound in certain limitations .	1
250	 Female candidates also do not care about any restriction posed by the society and the employer .	1
251	 So we must give them opportunity to achieve their goal .	1
252	 Some young adults want independence from their parents quickly	0
253	 Many young adults want to get away from their parent ' s houses as soon as possible in order to have no limits , to be independent .	0
254	 But these young people do not take into account that their lives are going to be more difficult , when they are away from home .	1
255	 They will have to pay a lot of bills , because they will have to find a lodging or at least a place where to live and in order to have less expenses they will have to find a co - tenant , who they may not like .	1
256	 Living in their own houses will save the young adults a lot of money .	1
257	 If they live separate from their parents they will have to pay for a loan , electricity , water or even for a meal .	1
258	 If the young adults still study they will have to combine studying with working , because they will not have money to pay for everything .	1
259	 There will not be such worries when young adults live in their own home , because parents will take care for them .	1
260	 Moreover , parents will give their children money in order they to focus only on studying .	1
261	 Another problem that the young adults may encounter is to find a co - tenant , who they do not like .	1
262	 His habits may be totally different from theirs , his behavior may be inappropriate , but they will have to live with him or even share a room , in order to have less expenses .	1
263	 Living with such a person may be a huge problem for the young adults .	1
264	 When the co - tenant do not share their interests and points of view , they will not be able to ask him for advice .	1
265	 Furthermore , they are most likely to quarrel every day , instead of to help each other .	1
266	 In conclusion , I reckon that for the young adults it will be better to live with their parents , because of the benefits they will have .	1
267	 They will not need to worry about financial problems or if they will get on well with their roommate .	1
268	 Air pollution	0
269	 Air pollution is an issue threatening the environment in many different ways such as causing holes in the ozone and affecting global heating in the negative way .	0
270	 I believe that more responsibilities should put on private individuals and companies such as paying to clean up air pollution .	1
271	 First , in most industrialized countries , there is a number of companies that holds heavy factories in their constitutions .	1
272	 The waste products and harmful gases produced by these factories cause a significant amount of air pollution .	1
273	 While these companies make a huge amount of money from their businesses , most of them are not considering to take precautions to reduce the amount of air pollution .	1
274	 If these companies were obliged to pay to clean up the air pollution , they would at least make an effort to reduce the amount of air pollution they cause .	1
275	 Second , private individuals cause air pollution in several ways such as inessential use of cars and house heating .	1
276	 As house heating is a major need in the winter time , some households do not consider to use filters to reduce the amount of pollution that the heating causes .	1
277	 Instead of this , some expensive vehicles cause a huge amount of pollution .	1
278	 In my opinion , by charging private individuals for causing air pollution , that will at least contribute to reduce the amount of the pollution .	1
279	 On the other hand , I believe that governments should restrict the use of products that cause air pollution for both individuals and companies .	1
280	 Governments also should use an amount of money from their budgets to clean up the air , instead of putting all the responsibility to companies and private individuals .	1
281	 In conclusion , due to the fact that governments are responsible to provide a healthy environment for their inhabitants and they should be responsible from cleaning up the air pollution , both companies and private individuals should take the main part to clean up the air pollution .	1
282	 Young people should go to university or not	0
283	 Persistent deliberation is happening as to whether it is desirable for the youth to go to university .	0
284	 In regard to the development of the country , some people believe that it is essential for young students to get high quality of education in universities , while others think that it is only one of causes to increase the rate of unemployment .	0
285	 In this essay , I will analyze both views first in order to come up with a fool - proof decision .	0
286	 To begin with , those who advocate the impracticability of university have several reasons .	0
287	 From their point of view , the fact is that there are numerous job opportunities for those who do not have the certification of university graduation , such as mechanics , sales persons , or engineers , and , furthermore , labors for graduates are in short supply .	1
288	 What is worse , the labor market for highly educated students is now too competitive to get a job after finishing their studying .	1
289	 In this regard it is a loss of national productivity that young people spend much time on searching for high salary jobs , even can be a sheer time - consuming .	1
290	 However , on the other side of the coin are voices in the opposition , saying that universities provide not only skills for careers , but also academic knowledge for the human race , such as bio science , politics , and medicine .	1
291	 These academic values are necessary to the progress of the world .	1
292	 More importantly , many researches in the ivory - tower have created ingenious discoveries and achievements for the development of modern society .	1
293	 Another significant factor of universities is that diverse experiences in the campus life can make the young generation more competently because there are a number of chances through internships , deeper discussion , independent life , and exchange scholarships .	1
294	 To sum up both contentions about the necessity of universities ' education have reasonable justifications ; however , I agree with the latter view .	0
295	 Although higher education does not guarantee young students ' success , the benefits of learning in universities are the vital factor in creating more possibilities for the development of society through advancing academic fulfillment and the young generation who have experiences and challenges .	1
296	 Effects of mobile phones	0
297	 Nowadays , the popularity of mobile phones has brought about a lot of convenience but at the meanwhile a variety of problems as well , such as social , medical and technical problems .	0
298	 However , I do not think these disadvantages will outweigh the advantages brought by cell phones .	1
299	 In this essay , I would like to analyze these three issues in order to support my viewpoint .	0
300	 First of all , almost everything that changed our lifestyle a lot will also cause some social problems .	1
301	 Mobile phones are not out of expectation .	0
302	 Speaking loudly on the phone in public areas , such as schools , libraries and hospitals appears to be very impolite and offensive .	1
303	 What is worse , some students utilize their cell phones as an effective cheating tools in examinations in which they can send and receive answers by texting each other .	1
304	 Nevertheless , it is not impossible to solve these problems , as long as some regulations and rules can be effectively implemented .	1
305	 It is also worth mentioning that some harmful effects on our health are lethal .	1
306	 It has been proved that overusing of the electronic devices including mobile phones could lead to higher possibility of suffering hearing loss and even cancers , although the further investigation are needed .	1
307	 Another debatable problem is about techniques .	0
308	 There is panic among people that their conversation can be intercepted by the third party .	1
309	 This possibility exists all the time .	1
310	 But a more efficient and reliable system can also be invented to guarantee the private information of users .	1
311	 Moreover , the mobile phone has become a dispensable multifunctional tools in people ' s daily life .	1
312	 Not only used for communication , but it also functions as an Internet browser , a music player , a personal organizer and so forth .	1
313	 In conclusion , nothing can be overused without side effects .	0
314	 The contribution of the mobile phone to our modern society is prominent and people ' s dependence on it is irreversible , although it has a number of problems that should be well handled .	1
315	 Computer has negative effects to children	0
316	 Nowadays , thanks to the development of technology , computer is now indispensable to life .	0
317	 Some people think that computer is good for children and it should be used daily by children but some others think differently .	0
318	 In my opinion , the latter opinion is true .	0
319	 First , using computer constantly has bad influence on children ' s eyes .	1
320	 When they concentrate on computer for too long , their eyes will get tired , which is the main reason for some eyes problems , typically shortsighted .	1
321	 Moreover , children who play games too much on computer can seriously lack communicating skills , they will know little about the outside life .	1
322	 It is a well - known fact that people who are addicted to games , especially online games , can eventually bear dangerous consequences .	1
323	 For instance , several teenagers play games without rest , which leads to health depression , a typical example is the death of Korean gamer , who had a non - stop playing for 3 days .	1
324	 Finally , even people who are not interested in online game can still be negatively affected by using computer too much .	1
325	 Some social surveys have shown that a few children use computer for studying purpose , most of them are attracted by facebook , blog , etc . instead .	1
326	 Due to this neglect , they will have a bad result in school because when they can not live without internet , they will have no time for their studying .	1
327	 In conclusion , although it is undeniable that computer is a crucial part of human life , it still has its bad side , especially for children .	1
328	 People should learn how to use it properly to make it an effective tool because computer should be used not only for entertaining but also for working and studying purpose .	0
329	 Influence of large factories	0
330	 Nowadays , whether to establish large factories nearby housing areas has become a controversial issue in our society .	0
331	 Out of the case of economic development , industrial buildings are a necessary part of modern society .	0
332	 However a vast number of people are against building a factory near their community because of pollution .	0
333	 From my point of view , the advantages of building a factory will outweigh its disadvantages , if we tackle the environmental problems brought by factories .	1
334	 First of all , a large factory can stimulate local economic growth and reduce the unemployment rate .	1
335	 To manufacture goods , there must be the demand of laborers , from which the local residents can benefit .	1
336	 What is more , the factory is not isolated , other industries and business will be quickly established , resulting in economic growth of local area .	1
337	 For example , the estate industry will be boosted in order to satisfy the workers ' accommodation need .	1
338	 The main disadvantage is contamination .	1
339	 It is true that some area are suffering the dire consequences caused by overdeveloping the industry , such as water pollution , overcrowded traffic and medical problems .	1
340	 For instance , in some industrial cities , a large proportion of the workers are suffering various breathing problems , such as asthma which can be caused by waste ashes and certain chemical substances .	1
341	 However , it is inevitable that there will be more factories built with the development of our society .	1
342	 Therefore , how to improve the disadvantages of building a factory would be more important than whether to build it .	1
343	 In fact most problems can be avoidable if the factories put in real and great effort to manage their waste well .	1
344	 In conclusion , installation of manufacturing plant is a trend of industrialization for many countries .	0
345	 Its advantages will outweigh disadvantages as long as the factories dispose their waste and pollution in the correct way .	0
346	 Prepared Food	0
347	 Nowadays , more and more people begin to select prepared food as their daily meals , since it can effectively save time which is considered as money in our modern society .	1
348	 However it is obvious that prepared food can bring about some negative influence result from utilizing the artificial ingredients , ignoring the nutrition of food and modifying people ' s eating habits .	1
349	 In this essay , I would like to explain why this is not a good thing based on the three reasons above .	0
350	 First of all , to make their food easier to prepare and taste delicious , almost every producer adds a wide range of artificial ingredients in to the food that is now purchased by most people .	1
351	 Some ingredients being added have caused dire consequences .	1
352	 For instance , there are usually some articles in newspapers and magazines which report the relationship between certain chemical components in some food and diseases .	1
